Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-TH_BD12.5-P6.50-D1.4,1,1207-P6.5MM,C49246964
C1,0603,1,10u,
"C2, C5",0402,2,100n,
"C3, C4",0603,2,1u,
"C6, C7",0805,2,22u,
D1,D_SOD-123,1,1N5817,
"D2, D3, D5",D_SOD-923,3,ESD9B3.3,
F1,1206,1,Polyfuse 1A,
FB1,0805,1,BLM21PG220,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_DIN965_Pad,4,MountingHole,
J1,PinSocket_2x03_P2.54mm_Vertical,1,Pin 2x3,
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
OLED1,OLED-TH_L35.4-W33.5_HS13L03W2C01,1,HS13L03W2C01,C7465997
Q1,SOT-23,1,MMBT2222A,
"R1, R2, R3",0402,3,10K,
"R4, R5",0402,2,5.1K,
R6,0402,1,1K,
"R7, R8",0402,2,2K2,
"SW1, SW2, SW3",SW_SPST_B3U-1000P,3,SW_SPST,
"SW4, SW5, SW6, SW7, SW8",SW-TH_4P-L4.5-W4.5-P3.00-LS4.8,5,SW_Push,C2888493
U1,ESP32-C6-WROOM-1,1,ESP32-C6-WROOM-1,
U3,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U4,SOT-23-6,1,USBLC6-2SC6,
